,아이디,날짜,맛평점,양평점,배달평점,리뷰
5236,   손님,2017년 9월 4일,-,-,-,역시 오리지날 순살이 최고네요..
5237,   손님,2017년 9월 2일,-,-,-,啊啊啊
5238,   손님,2017년 8월 28일,-,-,-,"맛있어요,생각보다 양이 좀 적네요 둘이먹으면 모자랄꺼 같애요"
5239,ha**님,2017년 8월 27일,-,-,-,굿굿
5240,   손님,2017년 8월 22일,-,-,-,맛있습니다아앙
5241,   손님,2017년 8월 20일,-,-,-,"맛은있는데, 양이좀 작고 다음번엔 나무 젓가락좀 챙겨주세요~"
5242,wh**님,2017년 8월 20일,-,-,-,진짜 짜요 ㅠㅠ 그리고 닭비린내가 좀 나는편...
5243,   손님,2017년 8월 16일,-,-,-,맛있네요
5244,li**님,2017년 8월 16일,-,-,-,닭도 실하고 적당히 잘익어서 맛있게먹었어요
5245,is**님,2017년 8월 15일,-,-,-,맛나요
5246,   손님,2017년 8월 15일,-,-,-,"고추바사삭 + 마그마 소스 시켰는데...
고추 눅눅눅 이었고 마그마 소스 안왔네요 고추 눅눅욱 조각내서 밥 비벼먹으려고 보니깐 없네 귀찮아서 전화 안했는데.. 실패네요"
5247,   손님,2017년 8월 14일,-,-,-,맛있어요
5248,   손님,2017년 8월 14일,-,-,-,쫀맛이에영ㅎㅎㅎ
5249,lj**님,2017년 8월 13일,-,-,-,전 오리지널 순살이 젤 좋더라구요
5250,sk**님,2017년 8월 13일,-,-,-,"맛있게 잘먹었습니다ㅋ
볼케이노 처음먹어보는데 생각보다 넘맛있네요ㅋ
배달도 엄청빨리오셔서 놀랬네요ㅋ"
5251,   손님,2017년 8월 13일,-,-,-,배송도 빠르고 맛있네요.  양도 많고.  맛있게 먹었어요
5252,   손님,2017년 8월 11일,-,-,-,"맛있어요 
그런데 좀 짜네요ㅠ"
5253,   손님,2017년 8월 7일,-,-,-,역시 맛있죠
5254,   손님,2017년 8월 5일,-,-,-,맛있게 잘먹었어요 :)
